recrd,vesslterms,feature_type,chart,latdec,londec,gp_quality,depth,sounding_type,yearsunk,history,quasou,watlev
,,Wrecks - Visible,"US,US,graph,Chart 12286",38.2906235,-76.849106,,,,,,,partly submerged at high water
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12286",38.1042384,-76.650784,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12286",38.2500025,-76.9674389,,,,,,,partly submerged at high water
,,Wrecks - Visible,"US,US,graph,Chart 12286",38.1373385,-76.6370019,,,,,,,partly submerged at high water
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12286",38.2050495,-76.751932,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12286",38.287816,-76.8590594,,,,,,,partly submerged at high water
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12286",38.1014522,-76.7237892,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12286",38.2483485,-76.975785,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12286",38.1097575,-76.711758,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12286",38.3078355,-76.85776,,,,,,,partly submerged at high water
,,Wrecks - Visible,"US,US,graph,Chart 12286",38.2677875,-76.841957,,,,,,,partly submerged at high water
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12286",38.2481465,-76.972395,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12287",38.3108913,-77.0324041,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12287",38.3409635,-76.9805539,,0.3,,,,value reported (not confirmed),always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12287",38.2734675,-76.969831,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12287",38.3283195,-76.985712,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12287",38.3667535,-76.986072,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12288",38.5458355,-77.241647,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12288",38.3993299,-76.9941437,,,,,Wrecks,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12288",38.4169935,-77.044057,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12288",38.3858295,-77.145539,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12288",38.3444985,-77.1795759,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12288",38.4832163,-77.2747329,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12288",38.4569095,-77.2669,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12288",38.4976445,-77.268457,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12288",38.4675815,-77.2664367,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12288",38.4333495,-77.17568,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12288",38.4691395,-77.270122,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12288",38.4190065,-77.35277,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12288",38.5353565,-77.2852189,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12288",38.3901635,-77.074653,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,reprt,5thCGD,LNM 37/02",38.3346428,-77.2687578,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12288",38.4796665,-77.273498,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12288",38.4404785,-77.264927,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12288",38.4000785,-77.049931,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12288",38.4690014,-77.2663188,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12288",38.4582075,-77.269858,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12288",38.3500185,-77.216548,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12288",38.3387075,-77.212398,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.7617788,-77.045114,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.7894857,-77.0197592,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12289",38.7973272,-77.0246325,,,,,,,always dry
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12289",38.8981783,-77.059812,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12289",38.5587535,-77.1921299,,,,,Wrecks,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.7964397,-77.0251336,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.7823619,-77.0212122,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12289",38.6795539,-77.2521551,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.7599225,-77.045697,,1.8,,,Wrecks,"least depth unknown, safe clearance at value shown",always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.8091968,-77.0317161,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.7230812,-77.0357285,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,FE-628",38.8631556,-77.0116056,,2.4,,,,depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.7970057,-77.029581,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.8666304,-77.0091623,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.8705303,-77.0062207,,,,,Wrecks,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.7881858,-77.0181539,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.7873923,-77.0156257,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.7791681,-77.0474306,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.7049035,-77.059321,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.6580092,-77.1145137,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.788029,-77.0149991,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.7947655,-77.030597,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.7502015,-77.0429824,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.6525635,-77.22823,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.7971746,-77.0284436,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12289",38.6598925,-77.114434,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.6963725,-77.108519,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.6427285,-77.2210822,,0.9,,,,"least depth unknown, safe clearance at value shown",always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.6967517,-77.0662148,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.6983231,-77.1131405,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12289",38.5572581,-77.1888851,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 12289",38.5568081,-77.1894724,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.5865835,-77.142907,,,,,Wrecks,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.585995,-77.1919606,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.658726,-77.2349714,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.7648815,-77.041051,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.8777052,-77.0513962,,,,,Wrecks,depth unknown,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12289",38.7316513,-77.0305232,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12289",38.6251565,-77.209231,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.8779962,-76.9767198,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.6347015,-77.141857,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12289",38.6568065,-77.233758,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.668096,-77.1539217,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.7806876,-77.0264304,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12289",38.6459023,-77.1987303,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.672554,-77.1516886,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.8760515,-76.983551,,,,,Wrecks,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.6442035,-77.221573,,1.2,,,,"least depth unknown, safe clearance at value shown",always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.6677009,-77.2414458,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.7817022,-77.0219453,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.7949298,-77.0266365,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.6578502,-77.2014791,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12289",38.5613885,-77.193403,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 12289",38.6383729,-77.2181211,,,,,Wrecks,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.8954211,-77.0597144,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.6691485,-77.242962,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.8009405,-77.031815,,0.6,,,,"least depth unknown, safe clearance at value shown",always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.6366785,-77.22587,,0.9,,,,"least depth unknown, safe clearance at value shown",always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.8391845,-77.0377619,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12289",38.8794715,-76.973326,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.7493266,-77.0462007,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12289",38.7807274,-77.0218447,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12289",38.695655,-77.0743495,,,,,,depth unknown,always under water/submerged
,,,"US,US,graph,FE-628",38.8318944,-77.0268694,,7,,,,,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,FE-628",38.8817,-77.0314944,,4.8,,,,depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,FE-628",38.88585,-77.0552306,,3.9,,,,depth known,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12211",38.3329813,-75.0948805,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,reprt,DD-13938-39",38.3269387,-75.0937774,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12211",38.3224562,-75.1008481,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 12211",38.3225078,-75.0943795,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 12211",38.3318723,-75.0983028,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12211",38.3251518,-75.0912466,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12211",38.3219321,-75.0890305,,2.7,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12211",38.3153794,-75.0868041,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12211",38.3240017,-75.0783067,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,chart 13286",43.3016854,-70.5616667,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13292",43.5467777,-70.2079569,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13292",43.6451961,-70.254009,,,,,,depth unknown,covers and uncovers
,,Wrecks - Visible,"US,US,graph,Chart 13292",43.6406014,-70.2602529,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13292",43.6500917,-70.2459611,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 13292",43.6444791,-70.2479138,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 13292",43.6441297,-70.2476317,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 13292",43.6434914,-70.2478231,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 13292",43.6429445,-70.2478584,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13292",43.6453772,-70.2535733,,,,,,depth unknown,covers and uncovers
,,"Wrecks - Submerged, dangerous","US,US,graph,H 12494",43.6685556,-70.22075,,3.9,,,,depth known,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 13292",43.6691645,-70.2029119,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 13292",43.668883,-70.203184,,,,,,,always dry
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 13292",43.6438773,-70.1635546,,24,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,reprt,DD-22136",43.6504839,-70.2092169,,0.9,,,,least depth known,always under water/submerged
,,Wrecks - Visible,"US,US,graph,H12494",43.6690253,-70.218981,,-0.3,,,,least depth known,covers and uncovers
,,"Wrecks - Submerged, dangerous","US,US,reprt,L-57/13",43.6531389,-70.2425556,,8.2,found by multi-beam,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,H 12494",43.6617116,-70.2098466,,6.7,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13292",43.7081733,-70.1941619,,5.7,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13292",43.7228833,-70.1856764,,1.5,,,,least depth known,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 13292",43.7067993,-70.1380022,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 13292",43.7070898,-70.1366295,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,reprt,1stCGD,LNM 01/99",43.7008498,-70.1128051,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13292",43.7162467,-70.1350226,,10.9,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13292",43.7368301,-70.1383599,,7.9,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13292",43.7475984,-70.1401003,,6.7,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,reprt,1st GCD, LNM 38/12",43.7664,-70.128545,,,,,,,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,graph,BP-174909",43.53524,-70.203804,,33.5,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 13290",43.530365,-70.171906,,39.9,,,,least depth known,always under water/submerged
,Ami Rae,"Wrecks - Submerged, nondangerous","US,US,reprt,L-329/06",43.5647536,-70.0231513,,,,,,depth unknown,always under water/submerged
,Surf,"Wrecks - Submerged, nondangerous","US,US,reprt,L-329/06",43.5664102,-70.0091635,,,,,,depth unknown,always under water/submerged
,F/V Harriet Stone,"Wrecks - Submerged, nondangerous","US,US,reprt,L-329/06",43.5652617,-70.0009775,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 13290",43.739404,-70.103703,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,reprt,1stCGD,LNM-05/11",43.7316667,-70.1055,,,,,FV Deborah Lee,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 13290",43.733328,-69.999952,,,,,,,covers and uncovers
,,Wrecks - Visible,"US,US,graph,Chart 13290",43.767949,-70.122382,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 13290",43.788197,-69.900199,,,,,,,always dry
,,Wrecks - Visible,"US,US,reprt,L-1290/04",43.786333,-69.876667,,,,,,depth unknown,covers and uncovers
,,"Wrecks - Submerged, dangerous","US,US,reprt,L-1290/04",43.780596,-69.872369,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,reprt,L-1274/04",43.817313,-69.866874,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13293",43.7301055,-69.6230924,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 13293",43.8487092,-69.5502026,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 13293",43.8684912,-69.5700249,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,reprt,1stCGD,LNM 31/08",43.8673333,-69.5545,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 13295",43.76425,-69.7811331,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13296",43.8949771,-69.8146762,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13296",43.8956804,-69.8146515,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 13296",43.8935307,-69.8064443,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13296",43.8943711,-69.8066832,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 13296",43.8430675,-69.7366861,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 13296",43.852156,-69.6351247,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 13296",43.8519845,-69.6343721,,,,,,,always dry
,,Wrecks - Visible,"US,US,reprt,DB-22321-obs",43.8804194,-69.6626278,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13301",43.815204,-69.409442,,15.8,"Wire-drag clearance, feet/fathoms",,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13301",43.853137,-69.347147,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 13301",43.888483,-69.256352,,,,,,,partly submerged at high water
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13301",43.851705,-69.20257,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13301",43.97935,-69.276073,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 13301",43.976775,-69.187534,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 13301",43.987405,-69.190352,,,,,,,always dry
,,"Wrecks - Submerged, nondangerous","US,US,reprt,1stCGD,LNM 03/13",43.7675117,-69.372235,,60.9,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13303",43.906147,-69.085587,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13303",43.920855,-69.069052,,,,,Reported,depth unknown,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 13305",44.2549806,-68.9180223,,6.4,,,,least depth known,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 13305",43.991038,-69.072314,,,,,,,always dry
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 13305",44.251098,-68.920503,,,,,,depth unknown,covers and uncovers
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 13305",44.1687136,-68.9865554,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13305",44.00006,-68.79939,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,reprt,1stCGD,LNM 14/07",44.109,-69.0886667,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13307",44.086763,-69.0998592,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 13307",44.1036639,-69.0526832,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,reprt,1st CGD,LNM 36/10",44.11251,-69.0833517,,,,,,,partly submerged at high water
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13307",44.0975027,-69.0655805,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13308",44.1268545,-68.8812858,,6.4,,,,least depth known,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 13309",44.277903,-68.915859,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13309",44.327236,-68.907446,,3.6,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13309",44.350395,-68.856535,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 13309",44.440031,-69.013914,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13309",44.387522,-68.977899,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13309",44.438329,-68.90089,,10.9,,,,least depth known,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 13309",44.464862,-68.876394,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 13309",44.589366,-68.864589,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 13309",44.566424,-68.795557,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 13309",44.569741,-68.784431,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13313",44.2263675,-68.5283518,,0.6,,,,value reported (not confirmed),always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13313",44.1447056,-68.4469428,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13313",44.1478356,-68.4466388,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13315",44.191302,-68.442382,,6.4,,,,least depth known,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 13316",44.323861,-68.503016,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 13316",44.494185,-68.487209,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 13316",44.4969276,-68.4281525,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 13321",44.246674,-68.245078,,,,,,,covers and uncovers
,,Wrecks - Visible,"US,US,graph,Chart 13321",44.290974,-68.274171,,,,,,,covers and uncovers
,,"Wrecks - Submerged, nondangerous","US,US,reprt,1stCGD,LNM 18/07",44.3491667,-68.1126667,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,reprt,1stCGD,LNM 37/12",44.405,-68.2133333,,,,,24 ft sailing vessel,,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 13324",44.385243,-68.033488,,,,,,,partly submerged at high water
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13324",44.461125,-67.99945,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13324",44.472195,-67.982617,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 13324",44.537658,-67.876584,,,,,,,partly submerged at high water
,,Wrecks - Visible,"US,US,graph,Chart 13324",44.615058,-67.747985,,,,,,,partly submerged at high water
,,Wrecks - Visible,"US,US,graph,Chart 13326",44.462179,-67.568145,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 13326",44.681659,-67.396328,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13326",44.573764,-67.357612,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 13326",44.644512,-67.372051,,,,,,,always dry
,,"Wrecks - Submerged, nondangerous","US,US,reprt,1stCGD,LNM 37/10",44.5837336,-67.1380655,,,,,,,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 13394",44.9259746,-67.0632558,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13394",44.8796192,-67.1400713,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 13396",44.9169166,-66.999794,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 13396",44.9417361,-66.924307,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 13396",44.9169282,-66.9197905,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 13396",44.9043678,-67.011474,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 13396",44.9183054,-67.0019845,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 13396",44.924294,-66.9256402,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 13396",44.9388373,-66.9254859,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 13396",44.9175881,-66.9969488,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 13396",44.9238256,-66.9271732,,,,,,,always dry
