recrd,vesslterms,feature_type,chart,latdec,londec,gp_quality,depth,sounding_type,yearsunk,history,quasou,watlev
,,Wrecks - Visible,"US,US,reprt,L-1453/14",19.4500485,-72.7024383,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,reprt,L-1453/14",19.4491062,-72.7023773,,,,,,,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,reprt,L-1453/14",19.4484844,-72.7018204,,3.6,,,,,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,reprt,L-1453/14",19.4474258,-72.6970673,,,,,wrecks,,always under water/submerged
,,Wrecks - Visible,"US,US,reprt,L-1453/14",19.4462624,-72.7016067,,,,,,,always dry
,,Wrecks - Visible,"US,US,reprt,L-1453/14",19.4452934,-72.7044373,,,,,,,always dry
,,Wrecks - Visible,"US,US,reprt,L-1453/14",19.7573872,-72.1437149,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,reprt,L-1453/14",19.7738743,-72.1836319,,,,,,,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,U1,graph,DNC H1415410",8.923214,-79.5195465,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,U1,graph,DNC H1415410",8.9186192,-79.5262527,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,U1,graph,DNC H1415410",8.8728724,-79.5571594,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,U1,graph,DNC H1415410",8.8552675,-79.5541916,,,,,reported in 2004,,always dry
,,Wrecks - Visible,"US,U1,graph,DNC H1415410",8.9507504,-79.5722198,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,U1,graph,DNC H1415410",8.7999086,-79.5539856,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,reprt,L-1740/14",8.8583218,-79.5280555,,13,,,,depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 16762",58.662951,-137.718712,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 17303",57.9445378,-136.6567145,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 17314",58.068524,-134.0123833,,,,,,,always dry
